customer_id,age,gender,tenure_months,monthly_charges,total_charges,contract_type,payment_method,internet_service,phone_service,multiple_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,monthly_usage_gb,avg_monthly_gb_download,avg_monthly_gb_upload,customer_service_calls,last_payment_date_days_ago,days_since_last_interaction,has_dependents,partner,churn
CUST001,45,Male,24,89.50,2148.00,Two year,Credit card (automatic),Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,450.2,380.5,69.7,2,15,8,Yes,Yes,No
CUST002,32,Female,12,65.30,783.60,Month-to-month,Bank transfer (automatic),DSL,Yes,No,No,No,No,No,No,No,No,120.8,95.2,25.6,1,3,2,No,No,No
CUST003,28,Male,6,45.20,271.20,Month-to-month,Electronic check,DSL,No,No,No,No,No,No,No,No,No,85.4,70.1,15.3,3,45,12,No,Yes,Yes
CUST004,55,Female,36,125.80,4528.80,Two year,Credit card (automatic),Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,890.5,750.3,140.2,0,2,1,Yes,Yes,No
CUST005,41,Male,18,78.90,1420.20,One year,Mailed check,Fiber optic,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,320.7,265.4,55.3,4,28,15,Yes,No,No
CUST006,29,Female,3,35.50,106.50,Month-to-month,Electronic check,DSL,No,No,No,No,No,No,No,No,No,45.2,38.1,7.1,5,60,25,No,No,Yes
CUST007,38,Male,48,95.60,4588.80,Two year,Credit card (automatic),Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,650.3,540.8,109.5,1,5,3,No,Yes,No
CUST008,26,Female,9,55.40,498.60,Month-to-month,Bank transfer (automatic),DSL,Yes,No,No,No,No,No,No,No,No,150.6,125.3,25.3,2,12,7,No,No,No
CUST009,47,Male,30,110.20,3306.00,Two year,Mailed check,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,720.8,610.2,110.6,0,1,1,Yes,Yes,No
CUST010,33,Female,15,68.70,1030.50,One year,Electronic check,Fiber optic,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,280.4,235.1,45.3,3,22,10,No,Yes,No
CUST011,24,Male,2,42.30,84.60,Month-to-month,Electronic check,DSL,No,No,No,No,No,No,No,No,No,35.8,30.2,5.6,6,75,30,No,No,Yes
CUST012,52,Female,42,130.50,5481.00,Two year,Credit card (automatic),Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,950.2,800.5,149.7,0,1,1,Yes,Yes,No
CUST013,36,Male,21,82.40,1730.40,One year,Bank transfer (automatic),Fiber optic,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,380.6,320.1,60.5,2,18,8,No,Yes,No
CUST015,44,Male,27,98.30,2654.10,Two year,Credit card (automatic),Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,580.7,490.3,90.4,1,4,2,Yes,No,No
CUST016,27,Female,4,38.70,154.80,Month-to-month,Electronic check,DSL,No,No,No,No,No,No,No,No,No,52.4,44.1,8.3,7,80,35,No,No,Yes
CUST017,49,Male,33,115.80,3821.40,Two year,Mailed check,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,820.5,690.2,130.3,0,2,1,Yes,Yes,No
CUST018,34,Female,16,72.60,1161.60,One year,Bank transfer (automatic),Fiber optic,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,310.8,260.5,50.3,3,20,9,No,Yes,No
CUST019,24,Male,2,42.30,84.60,Month-to-month,Electronic check,DSL,No,No,No,No,No,No,No,No,No,35.8,30.2,5.6,6,75,30,No,No,Yes
